,Asian,Black,Hispanic,Mixed,Other,White,postal_code
0,0.4%,64.4%,3.3%,1.1%,0.2%,30.6%,27536
1,3.4%,4.6%,16.3%,3.8%,0.0%,71.8%,85355
2,1.8%,4.1%,0.1%,1.4%,0.0%,92.6%,15046
3,0.0%,1.7%,4.6%,0.7%,1.7%,91.2%,89013
4,4.0%,0.7%,20.9%,1.1%,0.1%,73.1%,60191
5,4.4%,2.2%,10.6%,1.1%,0.8%,80.9%,85383
6,0.0%,15.6%,0.5%,1.2%,0.2%,82.5%,15145
7,0.0%,21.0%,6.0%,0.3%,0.0%,72.7%,70372
8,0.3%,54.2%,0.5%,9.9%,0.1%,35.0%,15110
9,2.5%,9.9%,9.7%,2.7%,0.1%,75.0%,53714
10,7.5%,2.5%,1.4%,0.7%,0.1%,87.9%,15090
11,1.4%,6.7%,63.3%,1.6%,2.7%,24.3%,85301
12,3.0%,40.0%,40.1%,2.0%,1.6%,13.2%,89106
13,10.7%,5.8%,15.1%,2.3%,2.9%,63.1%,85226
14,1.0%,1.4%,1.1%,0.5%,0.1%,95.8%,44060
15,5.0%,10.0%,36.6%,2.4%,0.8%,45.3%,89121
16,17.8%,10.9%,20.0%,3.4%,1.0%,46.9%,89147
17,17.2%,14.2%,18.4%,3.7%,1.0%,45.5%,89118
18,1.5%,11.4%,5.2%,3.2%,0.4%,78.2%,28803
19,6.0%,18.0%,9.8%,6.7%,1.6%,57.9%,89191
20,5.0%,10.3%,9.3%,1.9%,0.2%,73.3%,28658
21,5.2%,1.7%,9.0%,2.2%,1.0%,80.8%,85024
22,0.0%,0.0%,23.7%,0.0%,0.0%,76.3%,89161
23,7.1%,2.3%,18.3%,2.5%,3.5%,66.3%,89434
24,1.4%,5.7%,3.5%,2.1%,0.1%,87.2%,15216
25,2.5%,9.8%,61.1%,1.5%,1.3%,23.8%,85037
26,9.3%,6.8%,21.0%,4.1%,1.8%,57.0%,89123
27,21.8%,30.5%,6.1%,2.9%,0.8%,38.0%,44114
28,4.4%,16.1%,3.8%,1.8%,0.3%,73.5%,61802
